mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_step_size	param_prop_sparsity	param_norm	param_max_cosamp_iter	param_lamb	param_function_budget	param_delta	param_cosamp_tol	params	split0_test_score	mean_test_score	std_test_score	rank_test_score
116.68107438087463	0.0	3.4332275390625e-05	0.0	0.1	0.2	2	25	0.1	10000.0	0.001	0.5	{'step_size': 0.1, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	533457397231588.2	533457397231588.2	0.0	37
151.5492000579834	0.0	3.790855407714844e-05	0.0	0.1	0.25	2	15	0.1	10000.0	1e-05	0.5	{'step_size': 0.1, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	1.1576905918665266e+17	1.1576905918665266e+17	0.0	36
198.81196308135986	0.0	0.0025446414947509766	0.0	0.1	0.1	2	10	0.1	10000.0	1e-05	0.5	{'step_size': 0.1, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	1.4745184363842374e+21	1.4745184363842374e+21	0.0	35
275.6038374900818	0.0	3.457069396972656e-05	0.0	0.1	0.1	2	25	0.1	10000.0	0.0001	0.5	{'step_size': 0.1, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	2.803690529517662e+21	2.803690529517662e+21	0.0	34
232.22498869895935	0.0	0.0025386810302734375	0.0	1.0	0.15	2	15	0.1	10000.0	0.0001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	1.4848872583484603e+22	1.4848872583484603e+22	0.0	33
231.18889212608337	0.0	5.793571472167969e-05	0.0	1.0	0.1	2	20	0.1	10000.0	0.0001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	8.484199163548403e+22	8.484199163548403e+22	0.0	32
224.2083122730255	0.0	3.218650817871094e-05	0.0	1.0	0.15	2	5	0.1	10000.0	0.0001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	1.239371506330672e+24	1.239371506330672e+24	0.0	31
265.22222352027893	0.0	3.600120544433594e-05	0.0	1.0	0.15	2	5	0.1	10000.0	0.001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.881531484811079e+24	1.881531484811079e+24	0.0	30
287.96978998184204	0.0	0.0037598609924316406	0.0	1.0	0.15	2	15	0.1	10000.0	0.001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	6.898688566489512e+24	6.898688566489512e+24	0.0	29
210.29751348495483	0.0	0.002469778060913086	0.0	1.0	0.1	2	10	0.1	10000.0	0.001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	3.0481951436150407e+25	3.0481951436150407e+25	0.0	28
205.91775250434875	0.0	0.0049114227294921875	0.0	1.0	0.1	2	5	0.1	10000.0	0.001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	6.0476987188828675e+25	6.0476987188828675e+25	0.0	27
189.54705381393433	0.0	3.4332275390625e-05	0.0	10.0	0.15	2	5	0.1	10000.0	1e-05	0.5	{'step_size': 10.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	3.797982022497086e+35	3.797982022497086e+35	0.0	26
217.83677792549133	0.0	0.007269382476806641	0.0	100.0	0.15	2	20	0.1	10000.0	1e-05	0.5	{'step_size': 100.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	4.306540847229973e+35	4.306540847229973e+35	0.0	25
198.7357895374298	0.0	0.07979965209960938	0.0	10.0	0.15	2	15	0.1	10000.0	0.001	0.5	{'step_size': 10.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	3.017951300942761e+36	3.017951300942761e+36	0.0	24
